size
"2",,"","","","","arm-none-eabi-gcc (GCC) 5.3.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3proc,2016
linux-2.4.23-pre3-testplatform,fs/devices,730
linux-2.4.23-pre3-testplatform,fs/lockd/svcproc,2276
linux-2.4.23-pre3-testplatform,fs/lockd/svcshare,286
linux-2.4.23-pre3-testplatform,fs/lockd/xdr,3083
linux-2.4.23-pre3-testplatform,fs/lockd/svc4proc,2204
linux-2.4.23-pre3-testplatform,fs/lockd/clntproc,2243
linux-2.4.23-pre3-testplatform,fs/lockd/svcsubs,975
linux-2.4.23-pre3-testplatform,fs/lockd/mon,862
linux-2.4.23-pre3-testplatform,fs/lockd/host,1248
linux-2.4.23-pre3-testplatform,fs/lockd/xdr4,2932
linux-2.4.23-pre3-testplatform,fs/lockd/svc,1228
linux-2.4.23-pre3-testplatform,fs/lockd/svclock,1803
linux-2.4.23-pre3-testplatform,fs/lockd/clntlock,692
linux-2.4.23-pre3-testplatform,fs/lockd/lockd_syms,0
linux-2.4.23-pre3-testplatform,fs/file,573
linux-2.4.23-pre3-testplatform,fs/jbd/commit,3454
linux-2.4.23-pre3-testplatform,fs/jbd/journal,6239
linux-2.4.23-pre3-testplatform,fs/jbd/transaction,7532
linux-2.4.23-pre3-testplatform,fs/jbd/checkpoint,2674
linux-2.4.23-pre3-testplatform,fs/jbd/revoke,1655
linux-2.4.23-pre3-testplatform,fs/jbd/recovery,1682
linux-2.4.23-pre3-testplatform,fs/bad_inode,236
linux-2.4.23-pre3-testplatform,fs/stat,432
linux-2.4.23-pre3-testplatform,fs/open,2668
linux-2.4.23-pre3-testplatform,fs/super,2338
linux-2.4.23-pre3-testplatform,fs/select,1552
linux-2.4.23-pre3-testplatform,fs/seq_file,1548
linux-2.4.23-pre3-testplatform,fs/namei,6293
linux-2.4.23-pre3-testplatform,fs/read_write,1480
linux-2.4.23-pre3-testplatform,fs/ioctl,328
linux-2.4.23-pre3-testplatform,fs/buffer,8197
linux-2.4.23-pre3-testplatform,fs/dcache,3082
linux-2.4.23-pre3-testplatform,fs/ext3/fsync,241
linux-2.4.23-pre3-testplatform,fs/ext3/ialloc,2087
linux-2.4.23-pre3-testplatform,fs/ext3/symlink,112
linux-2.4.23-pre3-testplatform,fs/ext3/inode,7757
linux-2.4.23-pre3-testplatform,fs/ext3/file,300
linux-2.4.23-pre3-testplatform,fs/ext3/balloc,3268
linux-2.4.23-pre3-testplatform,fs/ext3/bitmap,116
linux-2.4.23-pre3-testplatform,fs/ext3/dir,860
linux-2.4.23-pre3-testplatform,fs/ext3/super,8264
linux-2.4.23-pre3-testplatform,fs/ext3/namei,4947
linux-2.4.23-pre3-testplatform,fs/ext3/ioctl,571
linux-2.4.23-pre3-testplatform,mm/swap,294
linux-2.4.23-pre3-testplatform,mm/vmalloc,1575
linux-2.4.23-pre3-testplatform,mm/numa,880
linux-2.4.23-pre3-testplatform,mm/mmap,3247
linux-2.4.23-pre3-testplatform,mm/mprotect,1314
linux-2.4.23-pre3-testplatform,mm/bootmem,1227
linux-2.4.23-pre3-testplatform,mm/memory,4622
linux-2.4.23-pre3-testplatform,mm/swapfile,5040
linux-2.4.23-pre3-testplatform,mm/shmem,4931
