size
"2",,"","","","","arm-none-eabi-gcc (GCC) 7.3.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
linux-2.4.23-pre3-testplatform,drivers/block/ll_rw_blk,4113
lwip-0.5.3.preproc,src/core/ipv4/ip_addr,4
lwip-0.5.3.preproc,src/core/ipv4/ip,1192
lwip-0.5.3.preproc,src/core/ipv4/icmp,656
lwip-0.5.3.preproc,src/core/tcp,2139
lwip-0.5.3.preproc,src/core/pbuf,1032
lwip-0.5.3.preproc,src/core/inet,318
lwip-0.5.3.preproc,src/core/stats,20
lwip-0.5.3.preproc,src/core/tcp_input,3760
lwip-0.5.3.preproc,src/core/tcp_output,2060
lwip-0.5.3.preproc,src/core/mem,804
lwip-0.5.3.preproc,src/core/udp,896
lwip-0.5.3.preproc,src/core/sys,258
lwip-0.5.3.preproc,src/core/memp,588
lwip-0.5.3.preproc,src/core/netif,380
lwip-0.5.3.preproc,src/api/err,0
lwip-0.5.3.preproc,src/api/api_msg,1236
lwip-0.5.3.preproc,src/api/api_lib,1508
lwip-0.5.3.preproc,src/api/tcpip,244
lwip-0.5.3.preproc,src/api/sockets,824
lwip-0.5.3.preproc,src/netif/loopif,80
lwip-0.5.3.preproc,src/netif/arp,1096
lwip-0.5.3.preproc,src/netif/tcpdump,1275
lwip-0.5.3.preproc,proj/unixsim/simnode,322
lwip-0.5.3.preproc,proj/unixsim/apps/httpd,559
lwip-0.5.3.preproc,proj/unixsim/apps/shell,7753
lwip-0.5.3.preproc,proj/unixsim/apps/fs,39808
lwip-0.5.3.preproc,proj/unixsim/apps/tcpecho,112
lwip-0.5.3.preproc,proj/unixsim/apps/udpecho,128
lwip-0.5.3.preproc,proj/unixsim/simrouter,466
lwip-0.5.3.preproc,proj/unixsim/simhost,338
mpeg2dec-0.3.1,src/getopt,2272
mpeg2dec-0.3.1,src/extract_mpeg2,2576
mpeg2dec-0.3.1,src/gettimeofday,0
mpeg2dec-0.3.1,src/mpeg2dec,3502
mpeg2dec-0.3.1,libvo/video_out,146
mpeg2dec-0.3.1,libvo/yuv2rgb,3264
mpeg2dec-0.3.1,libvo/yuv2rgb_mlib,0
mpeg2dec-0.3.1,libvo/yuv2rgb_mmx,0
mpeg2dec-0.3.1,libvo/video_out_pgm,401
mpeg2dec-0.3.1,libvo/video_out_null,184
mpeg2dec-0.3.1,libvo/video_out_dx,0
mpeg2dec-0.3.1,libvo/video_out_x11,0
mpeg2dec-0.3.1,libvo/video_out_sdl,633
mpeg2dec-0.3.1,libmpeg2/cpu_accel,4
mpeg2dec-0.3.1,libmpeg2/cpu_state,2
mpeg2dec-0.3.1,libmpeg2/motion_comp_altivec,0
mpeg2dec-0.3.1,libmpeg2/idct,1136
mpeg2dec-0.3.1,libmpeg2/idct_alpha,0
mpeg2dec-0.3.1,libmpeg2/alloc,88
mpeg2dec-0.3.1,libmpeg2/idct_mlib,0
mpeg2dec-0.3.1,libmpeg2/idct_altivec,0
mpeg2dec-0.3.1,libmpeg2/decode,1872
mpeg2dec-0.3.1,libmpeg2/motion_comp_mlib,0
mpeg2dec-0.3.1,libmpeg2/motion_comp_alpha,0
mpeg2dec-0.3.1,libmpeg2/header,3412
mpeg2dec-0.3.1,libmpeg2/motion_comp,3424
mpeg2dec-0.3.1,libmpeg2/motion_comp_mmx,0
mpeg2dec-0.3.1,libmpeg2/slice,14564
mpeg2dec-0.3.1,libmpeg2/idct_mmx,0
mpgcut-1.1,mpgcut,8663
OpenTCP-1.0.4,tcp,3982
OpenTCP-1.0.4,dns/dns,1012
OpenTCP-1.0.4,timers,176
OpenTCP-1.0.4,ip,1320
OpenTCP-1.0.4,http/http_server,960
OpenTCP-1.0.4,http/https_callbacks,588
OpenTCP-1.0.4,smtp/smtpc_callbacks,22
OpenTCP-1.0.4,smtp/smtp_client,1464
OpenTCP-1.0.4,tftp/tftps,592
OpenTCP-1.0.4,udp,1130
OpenTCP-1.0.4,pop3/pop3c_callbacks,20
OpenTCP-1.0.4,pop3/pop3_client,2491
OpenTCP-1.0.4,dhcp/dhcpc,1720
OpenTCP-1.0.4,arp,1645
OpenTCP-1.0.4,bootp/bootp,1016
OpenTCP-1.0.4,system,772
OpenTCP-1.0.4,icmp,264
OpenTCP-1.0.4,ethernet,1456
OpenTCP-1.0.4,demo/udp_demo,192
OpenTCP-1.0.4,demo/main_demo,200
OpenTCP-1.0.4,demo/tcp_client_demo,284
OpenTCP-1.0.4,demo/tcp_server_demo,244
replaypc-0.4.0.preproc,headend,1502
replaypc-0.4.0.preproc,program,4350
